ID,Date,Policy Area,Name,For,Against,Abstentions,Result,GUE-NGL,S&D,Greens/EFA,REG,EPP,ECR,IDG,NI
2324,9/14/2020,Transport & tourism,Sustainable rail market in view of COVID-19 outbreak - Draft legislative resolution : 2020/0127/COD,64,0,0,Adopted,For,For,For,For,For,For,For,For
2325,9/14/2020,Budget,Draft amending budget no 8: Increase of payment appropriations for the Emergency Support Instrument to finance the COVID-19 vaccines strategy and for the impact of the Corona Response Investment Initiative Plus - Draft legislative resolution : 2020/1997/BUD,62,0,2,Adopted,For,For,For,For,For,For,For,For
2326,9/14/2020,Regional development,Proposal for a Council decision authorising Portugal to apply a reduced rate of excise duty on certain alcoholic products produced in the autonomous regions of Madeira and the Azores - Draft legislative resolution : single vote,64,0,1,Adopted,For,For,For,For,For,For,For,For
2327,9/14/2020,Culture & education,"Effective measures to “green” Erasmus+, Creative Europe and the European Solidarity Corps - Motion for resolution : single vote",65,0,0,Adopted,For,For,For,For,For,Against,Abstain,For
2328,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 10/1,65,0,0,Adopted,For,For,For,For,For,For,For,For
2329,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 10/2,65,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2330,9/14/2020,Environment & public health,"The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 24,amendment 1",2,63,0,Rejected,Against,Against,Against,Against,For,Against,Against,Against
2331,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 24,65,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2332,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 38/1,65,0,0,Adopted,For,For,For,For,For,Against,For,For
2333,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 38/2,65,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2334,9/14/2020,Environment & public health,"The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 39,amendment 2",1,64,0,Rejected,Against,Against,Against,Against,For,For,For,Against
2335,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 39,65,0,0,Adopted,For,For,For,For,Against,Abstain,Against,For
2336,9/14/2020,Environment & public health,"The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 41,amendment 3",2,63,0,Rejected,Against,Against,Against,Against,For,For,For,Against
2337,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 41/1,65,0,0,Adopted,For,For,For,For,For,For,For,For
2338,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Paragraph 41/2,65,0,0,Adopted,For,For,For,For,Against,Against,Against,For
